Roll Number,3rd August,4th August,5th August,6th August,7th August,8th August,9th August
B26001,1,0,0,0,0,0,0
B26002,1,0,0,0,0,0,0
B26003,1,0,0,0,0,0,0
B26004,1,0,0,0,0,0,0
B26005,1,0,0,0,0,0,0
B26006,1,0,0,0,0,0,0
B26007,1,0,0,0,0,0,0
B26008,1,0,0,0,0,0,0
B26009,1,0,0,0,0,0,0
B26010,1,0,0,0,0,0,0
B26011,1,0,0,0,0,0,0
B26012,1,0,0,0,0,0,0
B26013,1,0,0,0,0,0,0
B26014,1,0,0,0,0,0,0
B26015,1,0,0,0,0,0,0
B26016,1,0,0,0,0,0,0
B26017,0,0,0,0,0,0,0
B26018,1,0,0,0,0,0,0
B26019,1,0,0,0,0,0,0
B26020,1,0,0,0,0,0,0
B26021,1,0,0,0,0,0,0
B26022,1,0,0,0,0,0,0
B26023,1,0,0,0,0,0,0
B26024,0,0,0,0,0,0,0
B26025,1,0,0,0,0,0,0
B26026,1,0,0,0,0,0,0
B26027,1,0,0,0,0,0,0
B26028,1,0,0,0,0,0,0
B26029,1,0,0,0,0,0,0
B26030,1,0,0,0,0,0,0
B26031,0,0,0,0,0,0,0
B26032,1,0,0,0,0,0,0
B26033,1,0,0,0,0,0,0
B26034,0,0,0,0,0,0,0
B26035,1,0,0,0,0,0,0
B26036,1,0,0,0,0,0,0
B26037,1,0,0,0,0,0,0
B26038,1,0,0,0,0,0,0
B26039,0,0,0,0,0,0,0
B26040,1,0,0,0,0,0,0
B26041,1,0,0,0,0,0,0
B26042,1,0,0,0,0,0,0
B26043,0,0,0,0,0,0,0
B26044,1,0,0,0,0,0,0
B26045,0,0,0,0,0,0,0
B26046,1,0,0,0,0,0,0
B26047,0,0,0,0,0,0,0
B26048,1,0,0,0,0,0,0
B26049,0,0,0,0,0,0,0
B26050,1,0,0,0,0,0,0
B26051,1,0,0,0,0,0,0
B26052,1,0,0,0,0,0,0
B26053,1,0,0,0,0,0,0
B26054,1,0,0,0,0,0,0
B26055,1,0,0,0,0,0,0
B26056,1,0,0,0,0,0,0
B26057,1,0,0,0,0,0,0
B26058,1,0,0,0,0,0,0
B26059,1,0,0,0,0,0,0
B26060,1,0,0,0,0,0,0
