Roll Number,3rd August,4th August,5th August,6th August,7th August,8th August,9th August
B26176,1,1,0,0,0,0,0
B26177,1,1,0,0,0,0,0
B26178,1,1,0,0,0,0,0
B26179,1,1,0,0,0,0,0
B26180,1,1,0,0,0,0,0
B26181,1,1,0,0,0,0,0
B26182,1,1,0,0,0,0,0
B26183,1,1,0,0,0,0,0
B26184,1,1,0,0,0,0,0
B26185,1,1,0,0,0,0,0
B26186,0,0,0,0,0,0,0
B26187,1,1,0,0,0,0,0
B26188,0,0,0,0,0,0,0
B26189,1,1,0,0,0,0,0
B26190,1,1,0,0,0,0,0
B26191,0,0,0,0,0,0,0
B26192,1,1,0,0,0,0,0
B26193,1,1,0,0,0,0,0
B26194,1,1,0,0,0,0,0
B26195,1,1,0,0,0,0,0
B26196,1,1,0,0,0,0,0
B26197,1,1,0,0,0,0,0
B26198,1,1,0,0,0,0,0
B26199,1,1,0,0,0,0,0
B26200,1,1,0,0,0,0,0
B26201,1,1,0,0,0,0,0
B26202,1,1,0,0,0,0,0
B26203,1,1,0,0,0,0,0
B26204,1,1,0,0,0,0,0
B26205,1,1,0,0,0,0,0
B26206,1,1,0,0,0,0,0
B26207,1,1,0,0,0,0,0
B26208,1,1,0,0,0,0,0
B26209,1,1,0,0,0,0,0
B26210,1,1,0,0,0,0,0
B26211,1,1,0,0,0,0,0
B26212,1,0,0,0,0,0,0
B26213,1,1,0,0,0,0,0
B26214,1,1,0,0,0,0,0
B26215,1,1,0,0,0,0,0
B26216,1,1,0,0,0,0,0
B26217,1,1,0,0,0,0,0
B26218,1,1,0,0,0,0,0
B26219,1,1,0,0,0,0,0
B26220,1,1,0,0,0,0,0
B26221,1,1,0,0,0,0,0
B26222,1,1,0,0,0,0,0
B26223,1,1,0,0,0,0,0
B26224,1,1,0,0,0,0,0
B26225,0,1,0,0,0,0,0
B26226,1,1,0,0,0,0,0
B26227,1,1,0,0,0,0,0
B26228,1,1,0,0,0,0,0
B26229,1,1,0,0,0,0,0
B26230,1,1,0,0,0,0,0
B26231,1,1,0,0,0,0,0
B26232,1,1,0,0,0,0,0
B26233,1,1,0,0,0,0,0
B26234,1,1,0,0,0,0,0
B26235,1,1,0,0,0,0,0
B26236,1,1,0,0,0,0,0
