Roll Number,3rd August,4th August,5th August,6th August,7th August,8th August,9th August
B26176,0,0,0,0,0,0,0
B26177,0,0,0,0,0,0,0
B26178,0,0,0,0,0,0,0
B26179,0,0,0,0,0,0,0
B26180,0,0,0,0,0,0,0
B26181,0,0,0,0,0,0,0
B26182,0,0,0,0,0,0,0
B26183,0,0,0,0,0,0,0
B26184,0,0,0,0,0,0,0
B26185,0,0,0,0,0,0,0
B26186,0,0,0,0,0,0,0
B26187,0,0,0,0,0,0,0
B26188,0,0,0,0,0,0,0
B26189,0,0,0,0,0,0,0
B26190,0,0,0,0,0,0,0
B26191,0,0,0,0,0,0,0
B26192,0,0,0,0,0,0,0
B26193,0,0,0,0,0,0,0
B26194,0,0,0,0,0,0,0
B26195,0,0,0,0,0,0,0
B26196,0,0,0,0,0,0,0
B26197,0,0,0,0,0,0,0
B26198,0,0,0,0,0,0,0
B26199,0,0,0,0,0,0,0
B26200,0,0,0,0,0,0,0
B26201,0,0,0,0,0,0,0
B26202,0,0,0,0,0,0,0
B26203,0,0,0,0,0,0,0
B26204,0,0,0,0,0,0,0
B26205,0,0,0,0,0,0,0
B26206,0,0,0,0,0,0,0
B26207,0,0,0,0,0,0,0
B26208,0,0,0,0,0,0,0
B26209,0,0,0,0,0,0,0
B26210,0,0,0,0,0,0,0
B26211,0,0,0,0,0,0,0
B26212,0,0,0,0,0,0,0
B26213,0,0,0,0,0,0,0
B26214,0,0,0,0,0,0,0
B26215,0,0,0,0,0,0,0
B26216,0,0,0,0,0,0,0
B26217,0,0,0,0,0,0,0
B26218,0,0,0,0,0,0,0
B26219,0,0,0,0,0,0,0
B26220,0,0,0,0,0,0,0
B26221,0,0,0,0,0,0,0
B26222,0,0,0,0,0,0,0
B26223,0,0,0,0,0,0,0
B26224,0,0,0,0,0,0,0
B26225,0,0,0,0,0,0,0
B26226,0,0,0,0,0,0,0
B26227,0,0,0,0,0,0,0
B26228,0,0,0,0,0,0,0
B26229,0,0,0,0,0,0,0
B26230,0,0,0,0,0,0,0
B26231,0,0,0,0,0,0,0
B26232,0,0,0,0,0,0,0
B26233,0,0,0,0,0,0,0
B26234,0,0,0,0,0,0,0
B26235,0,0,0,0,0,0,0
B26236,0,0,0,0,0,0,0
B26237,0,0,0,0,0,0,0
B26238,0,0,0,0,0,0,0
B26239,0,0,0,0,0,0,0
B26240,0,0,0,0,0,0,0
B26241,0,0,0,0,0,0,0
B26242,0,0,0,0,0,0,0
B26243,0,0,0,0,0,0,0
B26244,0,0,0,0,0,0,0
B26245,0,0,0,0,0,0,0
B26246,0,0,0,0,0,0,0
B26247,0,0,0,0,0,0,0
B26248,0,0,0,0,0,0,0
B26249,0,0,0,0,0,0,0
B26250,0,0,0,0,0,0,0
B26251,0,0,0,0,0,0,0
B26252,0,0,0,0,0,0,0
B26253,0,0,0,0,0,0,0
B26254,0,0,0,0,0,0,0
B26255,0,0,0,0,0,0,0
B26256,0,0,0,0,0,0,0
B26257,0,0,0,0,0,0,0
B26258,0,0,0,0,0,0,0
B26259,0,0,0,0,0,0,0
B26260,0,0,0,0,0,0,0
B26261,0,0,0,0,0,0,0
B26262,0,0,0,0,0,0,0
B26263,0,0,0,0,0,0,0
B26264,0,0,0,0,0,0,0
B26265,0,0,0,0,0,0,0
B26266,0,0,0,0,0,0,0
B26267,0,0,0,0,0,0,0
B26268,0,0,0,0,0,0,0
B26269,0,0,0,0,0,0,0
B26270,0,0,0,0,0,0,0
B26271,0,0,0,0,0,0,0
B26272,0,0,0,0,0,0,0
B26273,0,0,0,0,0,0,0
B26274,0,0,0,0,0,0,0
B26275,0,0,0,0,0,0,0
B26276,0,0,0,0,0,0,0
B26277,0,0,0,0,0,0,0
B26278,0,0,0,0,0,0,0
B26279,0,0,0,0,0,0,0
B26280,0,0,0,0,0,0,0
B26281,0,0,0,0,0,0,0
B26282,0,0,0,0,0,0,0
B26283,0,0,0,0,0,0,0
B26284,0,0,0,0,0,0,0
B26285,0,0,0,0,0,0,0
B26286,0,0,0,0,0,0,0
B26287,0,0,0,0,0,0,0
B26288,0,0,0,0,0,0,0
B26289,0,0,0,0,0,0,0
B26290,0,0,0,0,0,0,0
B26291,0,0,0,0,0,0,0
B26292,0,0,0,0,0,0,0
B26293,0,0,0,0,0,0,0
B26294,0,0,0,0,0,0,0
B26295,0,0,0,0,0,0,0
B26296,0,0,0,0,0,0,0
B26297,0,0,0,0,0,0,0
B26298,0,0,0,0,0,0,0
B26299,0,0,0,0,0,0,0
B26300,0,0,0,0,0,0,0
B26301,0,0,0,0,0,0,0
B26302,0,0,0,0,0,0,0
B26303,0,0,0,0,0,0,0
B26304,0,0,0,0,0,0,0
B26305,0,0,0,0,0,0,0
